"score","review","writer","datetime"
"10","2번째  쿠키 영상이 젤 충격이었다..닉퓨리..  흠  ","Zeper(zhan****)","2019.07.02 17:24"
"10","솔직히 1편보다 1.5배는 재밌는듯ㅋ액션도 그렇고..것보다 쿠키 진짜 미쳤네;;;  ","hade****","2019.07.02 17:24"
"10","역시 마블 입니다 크 재미있었어여 개그 코드 맞아서 그런지 2시간 근방 지나가네여 시간 가는줄 모르고 봤습니다  ","qkrd****","2019.07.02 17:23"
"10","일단 톰홀랜드 얼굴이랑 연기부터가 10점이다  ","히(sshs****)","2019.07.02 17:21"
"10","토니 스타크의 시선을 통해 성장하는 스파이더맨!  ","김현석(spik****)","2019.07.02 17:20"
"10","어벤져스4의 엔딩으로 낮아진 MCU의 향후기대치를 쿠키2개로 완벽하게 되살림. MCU영화중 역대급CG는 덤.  ","잡상인(truc****)","2019.07.02 17:20"
"10","강추합니다. 4회차 ㄱ ㄱ ㄱ  ","난사람이다(aosd****)","2019.07.02 17:19"
"10","쿠키다보셈 뮤적권보샌  ","0720****","2019.07.02 17:15"
"10","피터...너는 계획이 다 있구나?  ","zhzh****","2019.07.02 17:14"
"9","음 약간 유치했지만 현시점에서 볼게 이것뿐임 ㅋㅋ  ","fill****","2019.07.02 17:09"
"8","관람객마블팬이면 추천합니다.^^  ","마티쥐(mati****)","2019.07.02 17:07"
"10","최고의 영화ㅜㅜ역대급 재미역대금 김토미 ??????  ","묘가영감(dudd****)","2019.07.02 17:06"
"10","역시 마블은 예상 하면 안됨.. 멀티버스 .. ㅋㅋㅋ  ","공퉁이(just****)","2019.07.02 17:05"
"10","오베디아좌ㅋㅋ저런 인재를 못씀  ","유희성(hees****)","2019.07.02 17:05"
"8","관람객재밌쪙 피터파커 찌리릿  ","kjw0****","2019.07.02 17:04"
"10","관람객어벤저스 여운을 달래기에 부족하지 않습니다  ","영어(ster****)","2019.07.02 17:04"
"10","인간적인 면이 있어서 더욱 좋았습니다.재밌네요!  ","tkdq****","2019.07.02 17:03"
"9","안봤으면 바로달려가자 형 한번더볼끄다  ","준튜(qkrw****)","2019.07.02 17:02"
"10","닥터스트레인지보고 cg팀들 진짜 대단하다 느꼈는데 이거 보고 경이롭다고 느낌  ","reitesy(jam7****)","2019.07.02 17:01"
"10","분명히 이거 찍다가 CG팀 한명은 초과근무로 죽었을거야  ","소금쟁이(jiwa****)","2019.07.02 17:01"
"9","기대하고 봤는데 개꿀잼이네  ","이런바보(wind****)","2019.07.02 16:58"
"8","관람객포인트 주세요 냠냠 포인트  ","지는노을(yjy2****)","2019.07.02 16:56"
"10","피터 찌리릿!!ㅋㅋ 뭔가 웃겼음  ","박윤우(aqgt****)","2019.07.02 16:54"
"10","스파이더맨 영화중 최고..  ","감동(desi****)","2019.07.02 16:54"
"10","관람객모든영화는 끝까지 봐야한다  ","Jerina(yson****)","2019.07.02 16:54"
"10","이거 까지 페이즈 3이라 아이언맨 얘기가 많이 나오는거고 아이언맨1의 향수가 물씬남. 평점테러 때문에 10점  ","essen(jang****)","2019.07.02 16:54"
"10","와씨 역대급인거같은데 난 마블히어로들이 점점 죽거나 은퇴하니까 뭔가 보기싫었는네 이거보니까 진짜 너무 재밌어서 또 보고싶었음 걍 소름에 소름.. 말하고싶은건 많지만 말하면 스포니까! 쿠키영상 2개니까 꼭보셈  ","근근(duda****)","2019.07.02 16:53"
"10","관람객사람을 믿지마라...믿을껀 과거 이야기  ","유리조각(gudw****)","2019.07.02 16:53"
